model,target_mode,long_decile,short_decile,backtest_start,backtest_end,cum_return,cum_alpha,ann_return,ann_vol,sharpe,max_drawdown,oos_alpha_monthly,oos_alpha_annual,oos_alpha_tstat,n_months
elastic_net,alpha,0.1,0.1,,,0.6109018180221348,0.7364833464038276,0.013715901844860268,0.08737175939645554,0.1992109235859565,-0.44083055292611684,0.0015119992113127511,0.018143990535753014,1.4532912362512593,420
ols,alpha,0.1,0.1,,,1.6556921283738597,1.9009692241228833,0.028298881959935462,0.08714474293571166,0.36336835499133097,-0.4120478181521936,0.002721232462020395,0.03265478954424474,2.709538347314083,420
random_forest,alpha,0.1,0.1,,,1.276600724959236,1.7856400918452446,0.023783665954189903,0.08754574716068185,0.31219858794975053,-0.37300105484053947,0.0026285869455140503,0.0315430433461686,2.6018185285551043,420
xgboost,alpha,0.1,0.1,,,1.4290080448607059,1.529792112986104,0.025680870592835303,0.08785022512730337,0.332430690817805,-0.38416720929505255,0.0024124698722938257,0.028949638467525907,2.3044685487379657,420
