caldt,mret,model,year,portfolio_alpha,target_mode,long_decile,short_decile,backtest_start,backtest_end
1993-07-30,-0.0014707109659463369,elastic_net,1992,0.004342047878109507,alpha,0.1,0,,
1993-08-31,0.042826878928102496,elastic_net,1992,0.0017218021138474399,alpha,0.1,0,,
1993-09-30,0.025671580184543633,elastic_net,1992,0.01997639585822657,alpha,0.1,0,,
1993-10-29,0.007920160133919454,elastic_net,1992,-0.012291836929287994,alpha,0.1,0,,
1993-11-30,-0.02656904839200893,elastic_net,1992,-0.010255909361003086,alpha,0.1,0,,
1993-12-31,0.03739016967303649,elastic_net,1992,0.016220562555632652,alpha,0.1,0,,
1994-01-31,0.03695267491976948,elastic_net,1993,0.00820964338292968,alpha,0.1,0,,
1994-02-28,-0.019446898161133028,elastic_net,1993,-0.0011321948554466506,alpha,0.1,0,,
1994-03-31,-0.04816499591338926,elastic_net,1993,0.004015729642412334,alpha,0.1,0,,
1994-04-29,0.007702956091728311,elastic_net,1993,0.003112675877434309,alpha,0.1,0,,
1994-05-31,0.004563407633246703,elastic_net,1993,0.0003364126144471723,alpha,0.1,0,,
1994-06-30,-0.03484750066122682,elastic_net,1993,-0.0013200411866432366,alpha,0.1,0,,
1994-07-29,0.02398281996648351,elastic_net,1993,-0.004975946550013797,alpha,0.1,0,,
1994-08-31,0.04985470420100187,elastic_net,1993,-0.0019636939762926464,alpha,0.1,0,,
1994-09-30,-0.020661807089602677,elastic_net,1993,-0.003786496326708029,alpha,0.1,0,,
1994-10-31,0.020469732430248962,elastic_net,1993,0.002597013901059944,alpha,0.1,0,,
1994-11-30,-0.036845606669215776,elastic_net,1993,-0.0007220362778127681,alpha,0.1,0,,
1994-12-30,0.014511434177223004,elastic_net,1993,0.0018758004343825668,alpha,0.1,0,,
1995-01-31,0.01010400597758654,elastic_net,1994,-0.007622690714957621,alpha,0.1,0,,
1995-02-28,0.037291305382985925,elastic_net,1994,-0.003146634578986743,alpha,0.1,0,,
1995-03-31,0.03520485046093934,elastic_net,1994,0.007155029528581679,alpha,0.1,0,,
1995-04-28,0.010327536783011775,elastic_net,1994,-0.012377629035991895,alpha,0.1,0,,
1995-05-31,0.03182481339893395,elastic_net,1994,0.0014462295587688578,alpha,0.1,0,,
1995-06-30,0.050806803838035104,elastic_net,1994,0.007433634224493453,alpha,0.1,0,,
1995-07-31,0.059090089308906205,elastic_net,1994,0.009379655451731625,alpha,0.1,0,,
1995-08-31,0.021710441933553468,elastic_net,1994,0.014226217440132225,alpha,0.1,0,,
1995-09-29,0.03344197021757853,elastic_net,1994,-0.0023905792209364465,alpha,0.1,0,,
1995-10-31,-0.022255343579165348,elastic_net,1994,-0.006785334059643804,alpha,0.1,0,,
1995-11-30,0.03960784311383364,elastic_net,1994,-0.001812697599982531,alpha,0.1,0,,
1995-12-29,0.00855633356839335,elastic_net,1994,-0.002409676095940766,alpha,0.1,0,,
1996-01-31,0.015591312484410513,elastic_net,1995,-0.0039797838967746465,alpha,0.1,0,,
1996-02-29,0.03421032211805938,elastic_net,1995,0.009985899740411735,alpha,0.1,0,,
1996-03-29,0.011256591685509373,elastic_net,1995,-0.0031370900445475613,alpha,0.1,0,,
1996-04-30,0.04990430968527841,elastic_net,1995,0.011046000567197942,alpha,0.1,0,,
1996-05-31,0.023386317200026024,elastic_net,1995,-0.010532824051018592,alpha,0.1,0,,
1996-06-28,-0.031913221666197554,elastic_net,1995,-0.014635030217050513,alpha,0.1,0,,
1996-07-31,-0.07365468521826968,elastic_net,1995,-0.0017599824084265775,alpha,0.1,0,,
1996-08-30,0.05206994762293486,elastic_net,1995,0.010856112981163984,alpha,0.1,0,,
1996-09-30,0.06281462755803105,elastic_net,1995,0.0023018683540954807,alpha,0.1,0,,
1996-10-31,-0.010307332299562611,elastic_net,1995,-0.008642094652430212,alpha,0.1,0,,
1996-11-29,0.05503143513757714,elastic_net,1995,-0.008152657145895553,alpha,0.1,0,,
1996-12-31,-0.010308760976815943,elastic_net,1995,0.0026859392876136968,alpha,0.1,0,,
1997-01-31,0.04222090940111265,elastic_net,1996,-0.012426251988310655,alpha,0.1,0,,
1997-02-28,-0.027792782230447132,elastic_net,1996,-0.011786125275424452,alpha,0.1,0,,
1997-03-31,-0.052716990432404826,elastic_net,1996,0.0011556073204835732,alpha,0.1,0,,
1997-04-30,0.016010620003715448,elastic_net,1996,-0.02420080047312547,alpha,0.1,0,,
1997-05-30,0.09316277670223257,elastic_net,1996,0.004339031774179991,alpha,0.1,0,,
1997-06-30,0.03975216329849777,elastic_net,1996,-0.005377028453781511,alpha,0.1,0,,
1997-07-31,0.07690963967324006,elastic_net,1996,-0.004048431423898491,alpha,0.1,0,,
1997-08-29,-0.011587952304007066,elastic_net,1996,0.017820351569611214,alpha,0.1,0,,
1997-09-30,0.0695106035781405,elastic_net,1996,0.005174508958376255,alpha,0.1,0,,
1997-10-31,-0.04538562925397852,elastic_net,1996,-0.003607172885804477,alpha,0.1,0,,
1997-11-28,0.001061096274419233,elastic_net,1996,-0.022419073944106298,alpha,0.1,0,,
1997-12-31,0.007395352614696894,elastic_net,1996,-0.0017896456890153295,alpha,0.1,0,,
1998-01-30,-0.006707110297828698,elastic_net,1997,-0.01336166635330638,alpha,0.1,0,,
1998-02-27,0.07747164873246253,elastic_net,1997,-0.004655160238031114,alpha,0.1,0,,
1998-03-31,0.04423166744432807,elastic_net,1997,-0.00714948366082975,alpha,0.1,0,,
1998-04-30,0.010077263951270208,elastic_net,1997,-0.0020196697340885703,alpha,0.1,0,,
1998-05-29,-0.0394379987560057,elastic_net,1997,-0.0004870399531481384,alpha,0.1,0,,
1998-06-30,0.01385153008848755,elastic_net,1997,-0.026749009690967676,alpha,0.1,0,,
1998-07-31,-0.04625240290474157,elastic_net,1997,-0.019006342808913616,alpha,0.1,0,,
1998-08-31,-0.18027810534824576,elastic_net,1997,0.0014543293645535027,alpha,0.1,0,,
1998-09-30,0.06259696593261575,elastic_net,1997,-0.013550658408581516,alpha,0.1,0,,
